Modelo,Dataset,Accuracy,Precision,Recall,F1,ROC-AUC
Random Forest,B,0.976,0.5476,0.8214,0.6571,0.989
Random Forest,A,0.974,0.5976,0.7206,0.6533,0.9684
Árbol de Decisión,B,0.9735,0.5169,0.8214,0.6345,0.8997
Árbol de Decisión,A,0.964,0.4811,0.75,0.5862,0.8608
SVM,B,0.96,0.4048,0.9107,0.5604,0.9877
SVM,A,0.9545,0.4122,0.7941,0.5427,0.9587
Regresión Logística,B,0.88,0.1691,0.8393,0.2814,0.9371
Regresión Lineal,B,0.8735,0.1638,0.8571,0.2751,0.9386
Regresión Lineal,A,0.8425,0.1501,0.7794,0.2518,0.9053
Regresión Logística,A,0.8455,0.1507,0.7647,0.2518,0.9052
