Survived,Pclass_0,Pclass_1,SibSp,Parch,Sex_Encoded,Port_C,Port_Q,Port_S,Age_Scaled,Fare_Scaled,Fare_Log
0,0,1,1,0,1,False,False,True,-0.5283212965120344,0.11153846153846154,2.1102132003465894
1,0,1,0,0,0,False,False,True,-0.21518215035509997,0.12192307692307693,2.188856327665703
1,1,0,1,0,0,False,False,True,0.4893809284980025,0.816923076923077,3.9908341858524357
0,0,1,0,0,1,False,False,True,0.4893809284980025,0.12384615384615387,2.2027647577118348
0,0,1,0,0,1,False,True,False,-0.058612577276632744,0.1301276923076923,2.246892662898172
0,1,0,0,0,1,False,False,True,1.976791872743441,0.7978846153846154,3.967694202798607
0,0,1,3,1,1,False,False,True,-2.0940170272967067,0.3242307692307692,3.0944457464900235
1,0,1,0,2,0,False,False,True,-0.13689736381586634,0.17128153846153849,2.495953738718064
1,1,1,1,0,0,True,False,False,-1.1545995888259033,0.4626276923076923,3.436268471383741
1,0,1,1,1,0,False,False,True,-1.9374474542182394,0.2569230769230769,2.8735646395797834
1,1,0,0,0,0,False,False,True,2.2899310189003756,0.4084615384615385,3.3160025355989236
0,0,1,0,0,1,False,False,True,-0.6848908695905016,0.12384615384615387,2.2027647577118348
0,0,1,1,5,1,False,False,True,0.802520074654937,0.48115384615384615,3.4742929367327062
0,0,1,0,0,0,False,False,True,-1.1545995888259033,0.12083384615384615,2.180891922715322
1,1,1,0,0,0,False,False,True,2.055076659282675,0.24615384615384617,2.833213344056216
0,0,1,4,1,1,False,True,False,-2.0940170272967067,0.4480769230769231,3.405355391810819
1,1,1,0,0,1,False,False,True,-0.058612577276632744,0.2,2.6390573296152584
0,0,1,1,0,0,False,False,True,0.1762417823410681,0.27692307692307694,2.9444389791664403
1,0,1,0,0,0,True,False,False,-0.058612577276632744,0.11115384615384616,2.1071782966514356
0,1,1,0,0,1,False,False,True,0.4893809284980025,0.4,3.295836866004329
1,1,1,0,0,1,False,False,True,0.4110961419587689,0.2,2.6390573296152584
1,0,1,0,0,0,False,True,False,-1.0763148022866698,0.12352615384615384,2.2004637699272855
1,1,0,0,0,1,False,False,True,-0.058612577276632744,0.5461538461538462,3.597312260588446
0,0,1,3,1,0,False,False,True,-1.624308308061305,0.3242307692307692,3.0944457464900235
1,0,1,1,5,0,False,False,True,0.7242352881157034,0.4828846153846154,3.4777725458882283
0,0,1,0,0,1,True,False,False,-0.058612577276632744,0.11115384615384616,2.1071782966514356
1,0,1,0,0,0,False,True,False,-0.058612577276632744,0.12121846153846154,2.1837114628556327
0,0,1,0,0,1,False,False,True,-0.058612577276632744,0.12147384615384617,2.1855792552411137
0,1,0,0,0,1,True,False,False,0.8808048611941706,0.4264738461538462,3.357621598945279
1,0,1,0,0,0,False,True,False,-0.058612577276632744,0.11923076923076924,2.169053700369523
0,1,1,0,0,1,False,False,True,2.9162093112142444,0.16153846153846155,2.4423470353692043
0,1,0,1,0,1,False,False,True,1.0373744342726379,0.8,3.970291913552122
1,0,1,0,0,1,True,False,False,-0.058612577276632744,0.11121846153846154,2.1076888046179385
0,0,1,0,0,1,False,False,True,-0.6066060830512681,0.12384615384615387,2.2027647577118348
0,0,1,2,0,0,False,False,True,-0.8414604426689688,0.27692307692307694,2.9444389791664403
1,0,1,1,0,0,True,False,False,-1.1545995888259033,0.17294923076923077,2.5048481563289
0,0,1,1,0,0,False,False,True,0.8808048611941706,0.14576923076923076,2.348991465808201
0,1,1,1,0,0,False,False,True,-0.13689736381586634,0.3230769230769231,3.091042453358316
0,0,1,0,0,1,True,False,False,-0.058612577276632744,0.12147384615384617,2.1855792552411137
1,1,1,1,2,0,True,False,False,-2.015732240757473,0.63968,3.7513658711253766
1,0,1,0,0,0,False,True,False,-0.7631756561297353,0.12121846153846154,2.1837114628556327
0,0,1,0,0,1,False,False,True,-0.058612577276632744,0.12384615384615387,2.2027647577118348
0,0,1,1,0,1,False,True,False,-0.058612577276632744,0.23846153846153847,2.803360380906535
1,0,1,0,0,0,False,True,False,-0.058612577276632744,0.11923076923076924,2.169053700369523
0,0,1,2,0,1,True,False,False,-0.058612577276632744,0.3335261538461539,3.1214482048688246
0,0,1,1,0,0,False,False,True,-0.8414604426689688,0.27384615384615385,2.9338568698359038
0,0,1,4,1,1,False,False,True,-1.7025930946005385,0.6105769230769231,3.705920919968788
0,0,1,0,0,1,False,False,True,-0.6066060830512681,0.12000000000000001,2.174751721484161
1,1,1,1,0,0,False,False,True,0.01967220926260087,0.4,3.295836866004329
0,1,0,0,1,1,True,False,False,2.8379245246750107,0.9535261538461539,4.142804513146981
1,1,0,0,0,1,False,False,True,-0.058612577276632744,0.5461538461538462,3.597312260588446
1,1,1,0,0,0,False,False,True,-0.6066060830512681,0.16153846153846155,2.4423470353692043
0,0,1,0,0,1,True,False,False,-0.019470184007015934,0.11121846153846154,2.1076888046179385
1,1,1,1,2,0,False,False,True,-1.8591626676790058,0.42692307692307696,3.3586377672433594
0,0,1,5,2,1,False,False,True,-1.3894539484436041,0.7215384615384616,3.8691155044168695
0,0,1,0,0,1,True,False,False,-0.5283212965120344,0.11121846153846154,2.1076888046179385
0,0,1,3,2,1,False,False,True,-1.9374474542182394,0.42923076923076925,3.3638415951183864
0,1,0,0,0,1,True,False,False,-0.058612577276632744,0.4264738461538462,3.357621598945279
1,0,1,1,1,1,True,False,False,-0.058612577276632744,0.23455076923076923,2.7878344138303452
1,1,1,0,0,0,False,False,True,0.01967220926260087,0.16153846153846155,2.4423470353692043
0,0,1,0,0,1,False,False,True,-0.7631756561297353,0.1255123076923077,2.2146605719425225
1,0,1,4,2,0,False,False,True,-0.9197452292082025,0.12192307692307693,2.188856327665703
0,0,1,2,0,1,False,False,True,-0.21518215035509997,0.13326923076923078,2.2682524139135403
