anio,unidad,ingresos_totales,gastos_personal,liquidez,dias_efectivo,cfo,participacion_ley30,participacion_regalias,participacion_servicios,participacion_matriculas,hhi_fuentes,endeudamiento,tendencia_ingresos,gp_ratio,label,liquidez_lag1,cfo_lag1,gp_ratio_lag1,endeudamiento_lag1,dias_efectivo_lag1,liquidez_diff,gp_ratio_diff,endeudamiento_diff,cfo_roll2,liquidez_roll2,dias_efectivo_roll2,cfo_negativo,top2_concentracion,gp_x_endeudam,liq_x_dias
2017,Ciencias Económicas,100420775869.84166,58253117931.75008,1.3547337990799495,116.2372382246916,-16629382569.323437,0.294017246453908,0.0633588459080333,0.2476928083001605,0.158773017609055,0.2327917225372883,0.372545922053905,-0.0473093545004245,0.5800902993146922,0,1.7686718409687652,6299227711.793105,0.511516795108975,0.4165016716161784,102.05680225320756,-0.41393804188881567,0.06857350420571728,-0.04395574956227338,-5165077428.765165,1.5617028200243572,109.14702023894958,1,0.5417100547540685,0.21611027543271777,157.47051533469758
2018,Ciencias Económicas,111713700402.77003,55897899296.51482,1.5035612413191564,90.06054403857645,8826307762.798704,0.294017246453908,0.0545120685295529,0.1675504161340756,0.1769951764810467,0.2467206391090731,0.3938325794620841,0.0739092564777927,0.5003674490683041,1,1.3547337990799495,-16629382569.323437,0.5800902993146922,0.372545922053905,116.2372382246916,0.14882744223920685,-0.07972285024638814,0.021286657408179088,-3901537403.2623663,1.429147520199553,103.14889113163403,0,0.4710124229349547,0.1970610031454332,135.41154338852056
2019,Ciencias Económicas,131159852515.41852,67290668277.58712,1.3439816469459775,108.69175553378396,9320575183.076912,0.4047676464878477,0.0528212814751547,0.1925678935906901,0.0777178158372856,0.2838016009355539,0.3137553835132573,0.0250202916869347,0.5130431834671112,0,1.5035612413191564,8826307762.798704,0.5003674490683041,0.3938325794620841,90.06054403857645,-0.1595795943731788,0.012675734398807093,-0.08007719594882678,9073441472.937809,1.423771444132567,99.3761497861802,0,0.5973355400785378,0.1609700607875859,146.07972461174452
2020,Ciencias Económicas,99065535018.05376,56282340633.914406,1.9215938142881,101.11855711509403,25189167432.85432,0.3165353255124623,0.0577829855789398,0.2029369141896707,0.1712821495158823,0.2372879034773102,0.3481515734927339,0.0064513558779849,0.5681324047122692,0,1.3439816469459775,9320575183.076912,0.5130431834671112,0.3137553835132573,108.69175553378396,0.5776121673421224,0.05508922124515803,0.03439618997947658,17254871307.965614,1.6327877306170389,104.90515632443899,0,0.519472239702133,0.19779619065278725,194.30879386210265
2021,Ciencias Económicas,125209562389.15115,64888089621.12253,1.5449381406794616,58.2515308858675,23106719286.109444,0.3539770807786614,0.0715937955828866,0.2062561226717032,0.1233567098991227,0.2481189276713567,0.528975443424991,0.0105858175513775,0.5182358949506622,0,1.9215938142881,25189167432.85432,0.5681324047122692,0.3481515734927339,101.11855711509403,-0.3766556736086384,-0.04989650976160698,0.18082386993225713,24147943359.48188,1.7332659774837809,79.68504400048077,0,0.5602332034503646,0.27413406233027365,89.99501181854437
2022,Ciencias Económicas,121171376130.8366,60646985210.30818,0.9925229336840772,105.80956467963048,23106719286.109444,0.3678300965528005,0.0316254817192909,0.1767283864242423,0.1250124811591112,0.2724437580071112,0.4139244717157319,0.0116189041418964,0.5005058714924859,1,1.5449381406794616,23106719286.109444,0.5182358949506622,0.528975443424991,58.2515308858675,-0.5524152069953844,-0.017730023458176314,-0.11505097170925915,23106719286.109444,1.2687305371817694,82.030547782749,0,0.5445584829770428,0.20717162844814924,105.01841954766196
2023,Ciencias Económicas,127942629571.4576,72287431866.86932,1.4919422185591198,62.77749094320888,5553476517.24027,0.3447035127619534,0.0560177523448549,0.2345437193712461,0.1911865068063184,0.2436406218469181,0.3300553720303265,0.0758777583366521,0.5649987975782212,1,0.9925229336840772,23106719286.109444,0.5005058714924859,0.4139244717157319,105.80956467963048,0.4994192848750426,0.06449292608573531,-0.0838690996854054,14330097901.674854,1.2422325761215984,84.29352781141968,0,0.5792472321331995,0.18648088833136695,93.6603891133861
2024,Ciencias Económicas,144652428182.52933,84423231760.45982,1.3298962474190716,96.6445829534248,-33011593840.145737,0.2758774532900009,0.0261589516924408,0.2571343110580809,0.1767766711182819,0.2438844877106613,0.4212238977768633,0.0743817260519271,0.5836281687157755,1,1.4919422185591198,5553476517.24027,0.5649987975782212,0.3300553720303265,62.77749094320888,-0.16204597114004815,0.01862937113755425,0.09116852574653683,-13729058661.452736,1.4109192329890956,79.71103694831685,1,0.5330117643480818,0.24583813207883176,128.52726820314084
2025,Ciencias Económicas,142706654986.28525,73702936735.23897,1.3298962474190716,132.69486726145502,6745379345.055219,0.3367971352822294,0.0656920605962711,0.2809492931066213,0.1968071838795344,0.2497544289510425,0.3098809771956847,0.025097596873004,0.5164646087620942,0,1.3298962474190716,-33011593840.145737,0.5836281687157755,0.4212238977768633,96.6445829534248,0.0,-0.06716355995368128,-0.11134292058117862,-13133107247.545261,1.3298962474190716,114.66972510743992,0,0.6177464283888507,0.16004255765018474,176.47040602278085
2017,Derecho,73914828634.95139,39282645810.6814,1.8947014784517051,98.95850868404072,18654257386.51001,0.3544521721207054,0.0383636175341876,0.2652153110067321,0.2279995059433045,0.2624200680050245,0.2528482425967379,0.0216659073405547,0.5314582545363055,0,1.260682833461194,6414645943.038824,0.4766092491498767,0.3434859235085126,90.11801152544416,0.6340186449905112,0.054849005386428784,-0.09063768091177471,12534451664.774418,1.5776921559564494,94.53826010474245,0,0.6196674831274376,0.13437828567303464,187.49683270902787
2018,Derecho,70656453001.98996,37813596978.24871,1.0776141410197952,108.3763996589964,4384977940.901984,0.2771583093733158,0.0652397839356668,0.3014767097255383,0.1826322512985132,0.2354155057801477,0.2869965005772944,0.1054592798715842,0.5351754209510593,1,1.8947014784517051,18654257386.51001,0.5314582545363055,0.2528482425967379,98.95850868404072,-0.8170873374319099,0.0037171664147538364,0.03414825798055654,11519617663.705997,1.4861578097357502,103.66745417151856,0,0.5786350190988541,0.15359347300793447,116.78794082534745
2019,Derecho,75070147574.88701,43114387437.6935,1.584289174876964,117.74825560584247,6007720923.849249,0.3330335332677542,0.0889780722325152,0.1264801260626399,0.1560507293328628,0.246472641446685,0.3782723195794628,0.0725342847680438,0.5743213358503697,0,1.0776141410197952,4384977940.901984,0.5351754209510593,0.2869965005772944,108.3763996589964,0.5066750338571688,0.03914591489931041,0.09127581900216836,5196349432.375616,1.3309516579483796,113.06232763241944,0,0.489084262600617,0.21724986389609502,186.54728671698203
2020,Derecho,77427696345.47656,34258780662.42544,1.2595044441119143,117.77438587002888,4036273328.2344494,0.3310209379392788,0.0483629958036625,0.1870219955863852,0.2100377838875872,0.2409843515710691,0.2914257449356571,0.1171316925147852,0.4424615774381991,0,1.584289174876964,6007720923.849249,0.5743213358503697,0.3782723195794628,117.74825560584247,-0.32478473076504977,-0.13185975841217062,-0.08684657464380569,5021997126.041849,1.4218968094944393,117.76132073793568,0,0.541058721826866,0.1289446948103331,148.33736240585282
2021,Derecho,80648172909.88522,41291890163.569565,1.1381188125995645,107.24032658491411,5523009515.140212,0.4375338015515433,0.0485808382628514,0.1448270800375302,0.1707057041402904,0.2832549902936201,0.3794523711180442,0.0576049122538079,0.5120003178461137,1,1.2595044441119143,4036273328.2344494,0.4424615774381991,0.2914257449356571,117.77438587002888,-0.12138563151234982,0.06953874040791458,0.0880266261823871,4779641421.68733,1.1988116283557395,112.50735622747149,0,0.6082395056918337,0.1942797346199001,122.05223315561196
2022,Derecho,79250787189.42578,40448731007.69087,0.9856926546929684,148.30013836911058,5087583596.692193,0.3067277187552112,0.0785916893988542,0.283041063461338,0.2334981530256485,0.2445239077244022,0.3612442233566642,0.0423857087946777,0.5103890124272208,0,1.1381188125995645,5523009515.140212,0.5120003178461137,0.3794523711180442,107.24032658491411,-0.15242615790659608,-0.0016113054188928722,-0.018208147761380022,5305296555.916203,1.0619057336462665,127.77023247701234,0,0.5897687822165492,0.18437508240404618,146.17835708038317
2023,Derecho,79873026431.13173,37548952278.077225,1.3013768958698404,114.84001060384352,4534525201.259234,0.3224966914249079,0.0709928519160077,0.2351893965393094,0.1897506304212349,0.2333312759338735,0.3499108777986123,-0.0326044844672024,0.4701080446782964,0,0.9856926546929684,5087583596.692193,0.5103890124272208,0.3612442233566642,148.30013836911058,0.315684241176872,-0.04028096774892437,-0.011333345558051877,4811054398.975714,1.1435347752814045,131.57007448647704,0,0.5576860879642173,0.16449591857357196,149.45013652128944
2024,Derecho,82781817431.34923,49539553719.94651,1.64089453717967,60.590423678328655,5347246747.377034,0.3332885033019108,0.0316421102394066,0.2420291150144499,0.1833038167814508,0.2482502117494692,0.5547485436241043,0.0130836379556963,0.5984352030085538,1,1.3013768958698404,4534525201.259234,0.4701080446782964,0.3499108777986123,114.84001060384352,0.33951764130982953,0.12832715833025737,0.204837665825492,4940885974.318134,1.4711357165247552,87.71521714108609,0,0.5753176183163606,0.3319810573223904,99.42249521917121
2025,Derecho,85755137057.07195,48027374667.70742,1.291024483117724,118.58787273433094,3472714783.7870493,0.2884435850858764,0.0900516181161887,0.0805943558457498,0.1165117429284947,0.2914936870211675,0.48705556330727,0.0033411406441289,0.5600524506857721,1,1.64089453717967,5347246747.377034,0.5984352030085538,0.5547485436241043,60.590423678328655,-0.34987005406194593,-0.038382752322781655,-0.0676929803168343,4409980765.582042,1.4659595101486969,89.5891482063298,0,0.4049553280143711,0.2727766618503758,153.09984710087005
